Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-03-17 00:00:00,Kenya,Kenya,KE,43.39,98.91,89.31,89.31,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-18 00:00:00,Kenya,Kenya,KE,44.70,101.60,88.99,88.99,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-19 00:00:00,Kenya,Kenya,KE,43.85,100.36,89.20,89.20,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-20 00:00:00,Kenya,Kenya,KE,39.73,93.60,90.22,90.22,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-21 00:00:00,Kenya,Kenya,KE,37.73,90.31,90.71,90.71,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-22 00:00:00,Kenya,Kenya,KE,42.86,98.43,89.44,89.44,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-23 00:00:00,Kenya,Kenya,KE,43.41,99.11,89.31,89.31,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-24 00:00:00,Kenya,Kenya,KE,43.43,99.22,89.30,89.30,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-25 00:00:00,Kenya,Kenya,KE,43.64,99.76,89.25,89.25,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-26 00:00:00,Kenya,Kenya,KE,42.51,98.20,89.53,89.53,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-27 00:00:00,Kenya,Kenya,KE,42.49,98.88,89.54,89.54,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-28 00:00:00,Kenya,Kenya,KE,40.47,95.72,90.03,90.03,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-29 00:00:00,Kenya,Kenya,KE,43.83,100.13,89.20,89.20,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-30 00:00:00,Kenya,Kenya,KE,44.06,100.24,89.15,89.15,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-03-31 00:00:00,Kenya,Kenya,KE,43.92,99.79,89.18,89.18,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-01 00:00:00,Kenya,Kenya,KE,39.83,92.72,90.19,90.19,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-02 00:00:00,Kenya,Kenya,KE,40.58,94.54,90.01,90.01,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-03 00:00:00,Kenya,Kenya,KE,39.83,94.06,90.19,90.19,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-04 00:00:00,Kenya,Kenya,KE,40.54,95.57,90.01,90.01,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-05 00:00:00,Kenya,Kenya,KE,44.01,100.71,89.16,89.16,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-06 00:00:00,Kenya,Kenya,KE,44.15,100.69,89.12,89.12,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-07 00:00:00,Kenya,Kenya,KE,43.14,98.90,89.38,89.38,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-08 00:00:00,Kenya,Kenya,KE,42.74,98.25,89.47,89.47,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-09 00:00:00,Kenya,Kenya,KE,42.14,97.61,89.62,89.62,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-10 00:00:00,Kenya,Kenya,KE,40.29,94.87,90.08,90.08,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-11 00:00:00,Kenya,Kenya,KE,38.16,91.01,90.60,90.60,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-12 00:00:00,Kenya,Kenya,KE,41.92,96.70,89.68,89.68,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-13 00:00:00,Kenya,Kenya,KE,44.65,101.72,89.00,89.00,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-14 00:00:00,Kenya,Kenya,KE,44.75,101.74,88.98,88.98,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-15 00:00:00,Kenya,Kenya,KE,43.55,99.67,89.27,89.27,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-16 00:00:00,Kenya,Kenya,KE,42.93,98.70,89.42,89.42,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-17 00:00:00,Kenya,Kenya,KE,38.82,91.82,90.44,90.44,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-18 00:00:00,Kenya,Kenya,KE,38.50,91.47,90.52,90.52,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-19 00:00:00,Kenya,Kenya,KE,43.06,98.88,89.39,89.39,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-20 00:00:00,Kenya,Kenya,KE,43.27,98.98,89.34,89.34,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-21 00:00:00,Kenya,Kenya,KE,42.52,97.55,89.53,89.53,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-22 00:00:00,Kenya,Kenya,KE,43.72,100.13,89.23,89.23,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-23 00:00:00,Kenya,Kenya,KE,42.71,98.48,89.48,89.48,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-24 00:00:00,Kenya,Kenya,KE,41.74,97.35,89.72,89.72,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-25 00:00:00,Kenya,Kenya,KE,40.91,96.21,89.92,89.92,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-26 00:00:00,Kenya,Kenya,KE,44.61,101.72,89.01,89.01,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-27 00:00:00,Kenya,Kenya,KE,45.11,102.45,88.89,88.89,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-28 00:00:00,Kenya,Kenya,KE,43.18,98.73,89.36,89.36,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-29 00:00:00,Kenya,Kenya,KE,43.68,99.96,89.24,89.24,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-04-30 00:00:00,Kenya,Kenya,KE,42.68,98.46,89.49,89.49,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-01 00:00:00,Kenya,Kenya,KE,40.30,94.92,90.07,90.07,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-02 00:00:00,Kenya,Kenya,KE,38.47,91.45,90.52,90.52,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-03 00:00:00,Kenya,Kenya,KE,44.18,100.82,89.12,89.12,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-04 00:00:00,Kenya,Kenya,KE,44.36,100.85,89.07,89.07,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-05 00:00:00,Kenya,Kenya,KE,43.59,99.44,89.26,89.26,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-06 00:00:00,Kenya,Kenya,KE,43.56,99.66,89.27,89.27,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-07 00:00:00,Kenya,Kenya,KE,43.00,98.87,89.41,89.41,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-08 00:00:00,Kenya,Kenya,KE,41.50,96.79,89.78,89.78,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-09 00:00:00,Kenya,Kenya,KE,40.95,95.95,89.91,89.91,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-10 00:00:00,Kenya,Kenya,KE,43.78,100.20,89.22,89.22,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-11 00:00:00,Kenya,Kenya,KE,43.50,99.62,89.29,89.29,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-12 00:00:00,Kenya,Kenya,KE,43.54,99.59,89.28,89.28,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-13 00:00:00,Kenya,Kenya,KE,43.15,98.86,89.37,89.37,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-14 00:00:00,Kenya,Kenya,KE,41.47,95.86,89.79,89.79,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-15 00:00:00,Kenya,Kenya,KE,38.15,90.23,90.60,90.60,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-16 00:00:00,Kenya,Kenya,KE,37.23,88.97,90.83,90.83,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-05-17 00:00:00,Kenya,Kenya,KE,41.35,95.20,89.82,89.82,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
