STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BMU,Bermuda,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,5.4,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BTN,Bhutan,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,37.2,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BOL,Bolivia,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,90.2,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BES,Bonaire (Neth.),WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,O,Missing value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BIH,Bosnia and Herzegovina,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,198.4,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BWA,Botswana,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,38.1,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRA,Brazil,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,4270.0,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,VGB,British Virgin Islands,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,0.6,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BRN,Brunei Darussalam,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,14.0,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BGR,Bulgaria,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,670.7,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BFA,Burkina Faso,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,54.5,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,BDI,Burundi,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,46.6,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CPV,Cabo Verde,WB_SE4ALL_EG_FEC_TOT,Total final energy consumption (PJ),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PJ,PetaJoules (PJ),_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1990,2.8,W_AVG,Weighted Average,WB_SE4ALL,Sustainable Energy For All (SE4ALL),0,Units,NUMBER,Number (real number),602,CCYY,A,Normal value,PU,Public
