Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-10-01 00:00:00,Kenya,Kenya,KE,38.74,92.75,90.46,90.46,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-02 00:00:00,Kenya,Kenya,KE,40.67,94.51,89.98,89.98,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-03 00:00:00,Kenya,Kenya,KE,40.53,94.57,90.02,90.02,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-04 00:00:00,Kenya,Kenya,KE,39.62,93.35,90.24,90.24,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-05 00:00:00,Kenya,Kenya,KE,36.30,87.66,91.06,91.06,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-06 00:00:00,Kenya,Kenya,KE,35.22,86.14,91.33,91.33,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-07 00:00:00,Kenya,Kenya,KE,39.60,92.96,90.24,90.24,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-08 00:00:00,Kenya,Kenya,KE,41.24,95.86,89.84,89.84,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-09 00:00:00,Kenya,Kenya,KE,41.29,95.96,89.83,89.83,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-10 00:00:00,Kenya,Kenya,KE,40.48,94.60,90.03,90.03,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-11 00:00:00,Kenya,Kenya,KE,39.67,93.47,90.23,90.23,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-12 00:00:00,Kenya,Kenya,KE,36.84,88.87,90.93,90.93,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-13 00:00:00,Kenya,Kenya,KE,36.28,88.48,91.06,91.06,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-14 00:00:00,Kenya,Kenya,KE,41.60,96.93,89.75,89.75,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-15 00:00:00,Kenya,Kenya,KE,43.02,99.20,89.40,89.40,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-16 00:00:00,Kenya,Kenya,KE,43.52,100.06,89.28,89.28,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-17 00:00:00,Kenya,Kenya,KE,42.54,98.50,89.52,89.52,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-18 00:00:00,Kenya,Kenya,KE,41.92,97.62,89.67,89.67,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-19 00:00:00,Kenya,Kenya,KE,39.64,94.16,90.24,90.24,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-20 00:00:00,Kenya,Kenya,KE,36.67,89.05,90.97,90.97,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-21 00:00:00,Kenya,Kenya,KE,39.79,93.31,90.20,90.20,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-22 00:00:00,Kenya,Kenya,KE,40.16,93.81,90.11,90.11,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-23 00:00:00,Kenya,Kenya,KE,40.00,93.60,90.15,90.15,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-24 00:00:00,Kenya,Kenya,KE,40.72,95.30,89.97,89.97,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-25 00:00:00,Kenya,Kenya,KE,39.13,92.34,90.36,90.36,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-26 00:00:00,Kenya,Kenya,KE,38.06,91.54,90.62,90.62,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-27 00:00:00,Kenya,Kenya,KE,37.29,90.64,90.82,90.82,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-28 00:00:00,Kenya,Kenya,KE,42.40,98.49,89.56,89.56,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-29 00:00:00,Kenya,Kenya,KE,43.17,99.77,89.37,89.37,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-30 00:00:00,Kenya,Kenya,KE,42.88,99.15,89.44,89.44,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-10-31 00:00:00,Kenya,Kenya,KE,41.38,96.82,89.81,89.81,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-01 00:00:00,Kenya,Kenya,KE,39.04,92.35,90.38,90.38,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-02 00:00:00,Kenya,Kenya,KE,37.31,90.24,90.81,90.81,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-03 00:00:00,Kenya,Kenya,KE,36.75,89.65,90.95,90.95,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-04 00:00:00,Kenya,Kenya,KE,41.76,97.16,89.71,89.71,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-05 00:00:00,Kenya,Kenya,KE,43.01,99.01,89.41,89.41,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-06 00:00:00,Kenya,Kenya,KE,40.90,94.94,89.93,89.93,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-07 00:00:00,Kenya,Kenya,KE,39.74,93.05,90.21,90.21,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-08 00:00:00,Kenya,Kenya,KE,39.85,93.81,90.18,90.18,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-09 00:00:00,Kenya,Kenya,KE,36.59,88.42,90.99,90.99,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-10 00:00:00,Kenya,Kenya,KE,36.78,89.52,90.94,90.94,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-11 00:00:00,Kenya,Kenya,KE,42.71,98.93,89.48,89.48,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-12 00:00:00,Kenya,Kenya,KE,43.29,99.76,89.34,89.34,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-13 00:00:00,Kenya,Kenya,KE,44.91,102.57,88.94,88.94,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-14 00:00:00,Kenya,Kenya,KE,43.28,99.77,89.34,89.34,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-15 00:00:00,Kenya,Kenya,KE,40.06,94.03,90.13,90.13,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-16 00:00:00,Kenya,Kenya,KE,39.77,94.66,90.21,90.21,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-17 00:00:00,Kenya,Kenya,KE,39.13,93.82,90.36,90.36,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-18 00:00:00,Kenya,Kenya,KE,43.61,100.54,89.26,89.26,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-19 00:00:00,Kenya,Kenya,KE,44.60,102.08,89.01,89.01,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-20 00:00:00,Kenya,Kenya,KE,45.50,103.75,88.79,88.79,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-21 00:00:00,Kenya,Kenya,KE,44.44,102.19,89.05,89.05,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-22 00:00:00,Kenya,Kenya,KE,43.37,100.54,89.32,89.32,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-23 00:00:00,Kenya,Kenya,KE,41.73,98.28,89.72,89.72,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-24 00:00:00,Kenya,Kenya,KE,40.52,96.63,90.02,90.02,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-25 00:00:00,Kenya,Kenya,KE,44.88,103.02,88.95,88.95,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-26 00:00:00,Kenya,Kenya,KE,45.17,103.35,88.87,88.87,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-27 00:00:00,Kenya,Kenya,KE,45.16,103.30,88.88,88.88,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-28 00:00:00,Kenya,Kenya,KE,45.48,104.22,88.80,88.80,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-29 00:00:00,Kenya,Kenya,KE,43.90,101.63,89.19,89.19,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-11-30 00:00:00,Kenya,Kenya,KE,40.67,96.49,89.98,89.98,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-12-01 00:00:00,Kenya,Kenya,KE,34.49,86.93,91.51,91.51,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-12-02 00:00:00,Kenya,Kenya,KE,44.26,101.68,89.10,89.10,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-12-03 00:00:00,Kenya,Kenya,KE,44.11,101.19,89.14,89.14,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-12-04 00:00:00,Kenya,Kenya,KE,43.06,99.21,89.39,89.39,IEA + Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
