Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,07/10/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Bahamas, The",BHS,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,100,100,100,100,100,100,100,99.99332191,99.9931233,99.98501482,99.9762599,99.92835628,99.90485876,99.88698572,99.82387803,99.81285316,99.78773498,99.77594976,99.78125389,99.74070586,99.68533114,99.51912419,,,
Bosnia and Herzegovina,BIH,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,79.10060142,62.72760247,47.77011494,28.85482417,18.49670123,17.22335833,29.75476839,46.89104392,49.79618817,45.51900729,51.15543197,51.29723632,51.15438108,60.04793183,53.02482715,52.40438026,55.99218574,66.04718262,67.16589085,60.17998468,53.13010979,71.28926702,70.06817213,58.53532749,63.27351485,64.48269243,68.11504475,75.58097092,65.28705637,63.04807637,70.46936115,60.66033664,67.80395508,56.90427699,
Belarus,BLR,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,99.94940039,99.9535304,99.95478122,99.94306092,99.93948466,99.91973674,99.93256912,99.91940745,99.88081049,99.92834515,99.89655569,99.88030164,99.89038403,99.89484358,99.89106056,99.88049482,99.88054447,99.84291055,99.79171422,99.63457993,99.60166213,99.54037267,99.34088769,99.05417844,99.17086512,99.04054926,98.74575463,97.72272925,97.93259119,97.41752131,95.59250804,82.92635612,79.26649746,,
Belize,BLZ,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,54.54020407,43.34827145,44.67468665,65.83860677,61.26457602,56.81969395,22.40806551,24.194522,14.4120214,31.63532726,10.27314352,9.084807646,12.74617384,9.600042977,9.916976519,12.91107811,13.54574336,13.31037452,20.32615625,39.82356801,5.713253882,7.139824211,,,
Bermuda,BMU,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,49.73040232,41.12478032,45.85406302,41.72010562,51.84135977,56.6743955,54.53983941,53.54262673,56.7115903,52.64107189,48.47938144,45.16453152,46.0692951,53.06967119,51.43171806,58.8845919,56.15783181,56.55842965,60.03701834,61.85583561,66.11694153,65.80944351,67.27639543,66.0158244,71.25813449,70.30558016,79.18770818,74.6984193,70.29435322,63.42366933,64.08097815,61.74280724,63.40287518,,
Brazil,BRA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,4.495536776,4.75899939,4.852894942,4.569879671,4.573509562,4.928501711,5.605641346,5.993207395,6.061886943,8.665555277,8.667851308,11.23321198,10.13941002,9.045970923,10.83331398,10.23042778,9.808817252,8.744751734,12.61329354,8.099399083,12.38634667,9.792066677,14.47915554,20.431541,24.77811544,23.93585007,17.49676585,18.4521151,15.3787119,15.58925931,14.194674,20.03158012,9.838921359,8.72701372,
Barbados,BRB,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,100,99.9806567,99.98137716,99.98163158,99.98213189,99.96878461,99.96962779,99.91144207,99.91181407,99.88406664,99.84940052,99.74896352,99.69786384,99.57360884,99.02006442,98.65903688,98.67202764,97.68884092,97.69880724,96.59083015,94.55457327,92.67492043,,,
Brunei Darussalam,BRN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.94630872,99.94910941,99.95456611,99.95561474,99.95238095,99.9765808,99.95188838,99.95341253,99.9594485,99.94768963,99.91226531,99.87504463,,
Bhutan,BTN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,0.013210442,0.018630069,0.024885199,0.052446591,0.070036616,0.068361991,0.049659913,0.031573516,0.014786709,0.003438632,0.004286951,0.004528133,0.002637765,0.007151911,0.000139576,0.000258147,0,0.003884541,0,0,0,0,,,
Botswana,BWA,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,99.71509972,99.78354978,99.87041037,99.89895588,99.81419547,99.8015873,99.85477781,,99.77074736,99.750934,99.76452119,,
Central African Republic,CAF,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,0.291002212,0.294429396,0.294429396,0.291002212,0.196989993,0.183755972,0.175994368,0.179791442,0.196772924,0.178507676,0.177242113,0.175821084,0.175635802,0.175635802,0.162947219,0.273361629,4.371505337,3.526928576,3.526928576,3.526928576,3.526928576,3.526928576,,,
Canada,CAN,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,22.44044093,21.84179318,22.78345491,20.57977051,20.15345636,21.47687975,20.64828168,23.21860371,26.81624046,26.07684718,27.33448003,28.9157973,27.50594756,28.3384471,26.44615026,25.30048145,24.36273153,24.81125349,23.44181333,21.8486429,23.15945761,22.31756406,20.88605293,19.80764058,20.16461717,20.41587557,19.8030143,18.09871781,18.70472808,18.57074995,17.81868268,18.23105836,17.86455059,19.6730816,
Central Europe and the Baltics,CEB,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,75.1355413,73.71456882,74.47144989,73.53389787,73.00648724,71.83197757,71.53104427,70.82092625,69.72715788,69.87836324,70.63438885,69.91772652,68.15443685,70.18872039,68.11967744,67.28983927,68.40379139,70.09756871,67.36975618,64.62925237,64.7736328,66.5203332,64.14226727,61.33151744,58.22578233,59.47574236,59.70802022,59.69530554,58.93519298,56.64985394,53.44755713,55.09040642,54.34847791,51.43903776,
Switzerland,CHE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,1.335137252,1.75890618,2.071357946,1.317644771,1.410171332,1.724520878,2.055580675,1.81956508,2.346027194,1.719016803,1.603969194,1.507600127,1.660931611,1.734678736,1.745826027,1.815651824,1.537668987,1.348546191,1.243127983,1.189032852,1.613212416,1.566005911,1.378885723,1.136557853,0.748505081,0.981058479,1.410524316,1.201382065,0.930360424,0.873647683,0.88764829,0.805608977,0.62594234,0.408787579,
Channel Islands,CHI,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
